OpinionTerm,Polarity,Count,AvgLength,TopCategory
一般,中性,26,2.0,整体
一般般,中性,16,3.0,整体
希望是正品,中性,6,5.0,真伪
不知道是不是正品,中性,4,8.0,真伪
还可以,中性,4,3.0,整体
还行,中性,3,2.0,整体
不多,中性,2,2.0,使用体验
会不会过敏,中性,2,5.0,使用体验
很一般,中性,2,3.0,功效
很舒服,中性,2,3.0,使用体验
有点白,中性,2,3.0,使用体验
比较厚重,中性,2,4.0,使用体验
一般般吧,中性,1,4.0,功效
不一样,中性,1,3.0,气味
不清楚,中性,1,3.0,功效
不知道真假,中性,1,5.0,真伪
不错,中性,1,2.0,整体
偏白,中性,1,2.0,功效
别太香,中性,1,3.0,气味
厚重,中性,1,2.0,使用体验
大大的,中性,1,3.0,包装
好用,中性,1,2.0,整体
好评,中性,1,2.0,整体
小小的,中性,1,3.0,尺寸
少的,中性,1,2.0,使用体验
尚不明显,中性,1,4.0,功效
希望满意,中性,1,4.0,整体
干不干净,中性,1,4.0,功效
很不错,中性,1,3.0,整体
很好,中性,1,2.0,物流
挺好的,中性,1,3.0,整体
是不是正品,中性,1,5.0,真伪
是不是真品,中性,1,5.0,真伪
是正品,中性,1,3.0,整体
有一点点干,中性,1,5.0,使用体验
有一点点白,中性,1,5.0,功效
有一点白,中性,1,4.0,功效
有点厚重,中性,1,4.0,使用体验
有点小,中性,1,3.0,尺寸
有点油,中性,1,3.0,使用体验
有点滑,中性,1,3.0,使用体验
有点滑滑的,中性,1,5.0,使用体验
有点点,中性,1,3.0,气味
有点稠,中性,1,3.0,使用体验
有点黏黏,中性,1,4.0,使用体验
正不正品,中性,1,4.0,真伪
比较干,中性,1,3.0,使用体验
没什么突出的,中性,1,6.0,功效
没有原来美好,中性,1,6.0,价格
没有多大效果,中性,1,6.0,整体
没有美白,中性,1,4.0,功效
没看出来,中性,1,4.0,功效
泛油光,中性,1,3.0,使用体验
淡淡的,中性,1,3.0,气味
特别软,中性,1,3.0,包装
白了一点点,中性,1,5.0,功效
稍微有点干,中性,1,5.0,使用体验
稍微白一点,中性,1,5.0,包装
粉浮着,中性,1,3.0,使用体验
赞赞,中性,1,2.0,整体
轻微酒精味,中性,1,5.0,气味
还不知道,中性,1,4.0,功效
还好,中性,1,2.0,整体
还行吧,中性,1,3.0,整体
那么重,中性,1,3.0,气味
不错,正面,443,2.0,整体
很好,正面,328,2.0,整体
很好用,正面,206,3.0,整体
还不错,正面,163,3.0,整体
还可以,正面,143,3.0,整体
好用,正面,134,2.0,整体
挺好的,正面,134,3.0,整体
很快,正面,133,2.0,物流
很喜欢,正面,115,3.0,整体
快,正面,98,1.0,物流
好评,正面,92,2.0,整体
很不错,正面,92,3.0,整体
好,正面,90,1.0,整体
喜欢,正面,87,2.0,整体
挺好用的,正面,85,4.0,整体
是正品,正面,79,3.0,真伪
非常好,正面,73,3.0,整体
实惠,正面,72,2.0,价格
便宜,正面,68,2.0,价格
不油腻,正面,55,3.0,使用体验
很划算,正面,55,3.0,价格
挺好,正面,52,2.0,整体
还行,正面,51,2.0,整体
很满意,正面,43,3.0,整体
很舒服,正面,41,3.0,使用体验
物美价廉,正面,40,4.0,价格
正品,正面,38,2.0,真伪
可以,正面,35,2.0,整体
非常好用,正面,35,4.0,整体
很多,正面,31,2.0,成分
很实惠,正面,31,3.0,价格
还好,正面,29,2.0,整体
满意,正面,28,2.0,整体
不紧绷,正面,27,3.0,使用体验
挺好用,正面,27,3.0,整体
非常满意,正面,27,4.0,整体
很自然,正面,26,3.0,功效
特别好,正面,26,3.0,功效
很服帖,正面,25,3.0,使用体验
淡淡的,正面,25,3.0,气味
非常不错,正面,24,4.0,整体
很好闻,正面,23,3.0,气味
很清爽,正面,23,3.0,使用体验
很给力,正面,23,3.0,物流
非常喜欢,正面,23,4.0,整体
不刺激,正面,22,3.0,使用体验
